"DATEKEY","DATEVALUE","CYEAR","CQTR","CMONTH","DAYNO","STARTOFMONTH","ENDOFMONTH","MONTHNAME","DAYOFWEEKNAME"
20140421,2014-04-21,2014,2,4,21,2014-04-01,2014-04-30,"APRIL    ","MON"
20140422,2014-04-22,2014,2,4,22,2014-04-01,2014-04-30,"APRIL    ","TUE"
20140423,2014-04-23,2014,2,4,23,2014-04-01,2014-04-30,"APRIL    ","WED"
20140424,2014-04-24,2014,2,4,24,2014-04-01,2014-04-30,"APRIL    ","THU"
20140425,2014-04-25,2014,2,4,25,2014-04-01,2014-04-30,"APRIL    ","FRI"
20140426,2014-04-26,2014,2,4,26,2014-04-01,2014-04-30,"APRIL    ","SAT"
20140427,2014-04-27,2014,2,4,27,2014-04-01,2014-04-30,"APRIL    ","SUN"
20140428,2014-04-28,2014,2,4,28,2014-04-01,2014-04-30,"APRIL    ","MON"
20140429,2014-04-29,2014,2,4,29,2014-04-01,2014-04-30,"APRIL    ","TUE"
20140430,2014-04-30,2014,2,4,30,2014-04-01,2014-04-30,"APRIL    ","WED"
20140501,2014-05-01,2014,2,5,1,2014-05-01,2014-05-31,"MAY      ","THU"
20140502,2014-05-02,2014,2,5,2,2014-05-01,2014-05-31,"MAY      ","FRI"
20140503,2014-05-03,2014,2,5,3,2014-05-01,2014-05-31,"MAY      ","SAT"
20140504,2014-05-04,2014,2,5,4,2014-05-01,2014-05-31,"MAY      ","SUN"
20140505,2014-05-05,2014,2,5,5,2014-05-01,2014-05-31,"MAY      ","MON"
20140506,2014-05-06,2014,2,5,6,2014-05-01,2014-05-31,"MAY      ","TUE"
20140507,2014-05-07,2014,2,5,7,2014-05-01,2014-05-31,"MAY      ","WED"
20140508,2014-05-08,2014,2,5,8,2014-05-01,2014-05-31,"MAY      ","THU"
20140509,2014-05-09,2014,2,5,9,2014-05-01,2014-05-31,"MAY      ","FRI"
20140510,2014-05-10,2014,2,5,10,2014-05-01,2014-05-31,"MAY      ","SAT"
20140511,2014-05-11,2014,2,5,11,2014-05-01,2014-05-31,"MAY      ","SUN"
20140512,2014-05-12,2014,2,5,12,2014-05-01,2014-05-31,"MAY      ","MON"
20140513,2014-05-13,2014,2,5,13,2014-05-01,2014-05-31,"MAY      ","TUE"
20140514,2014-05-14,2014,2,5,14,2014-05-01,2014-05-31,"MAY      ","WED"
20140515,2014-05-15,2014,2,5,15,2014-05-01,2014-05-31,"MAY      ","THU"
20140516,2014-05-16,2014,2,5,16,2014-05-01,2014-05-31,"MAY      ","FRI"
20140517,2014-05-17,2014,2,5,17,2014-05-01,2014-05-31,"MAY      ","SAT"
20140518,2014-05-18,2014,2,5,18,2014-05-01,2014-05-31,"MAY      ","SUN"
20140519,2014-05-19,2014,2,5,19,2014-05-01,2014-05-31,"MAY      ","MON"
20140520,2014-05-20,2014,2,5,20,2014-05-01,2014-05-31,"MAY      ","TUE"
20140521,2014-05-21,2014,2,5,21,2014-05-01,2014-05-31,"MAY      ","WED"
20140522,2014-05-22,2014,2,5,22,2014-05-01,2014-05-31,"MAY      ","THU"
20140523,2014-05-23,2014,2,5,23,2014-05-01,2014-05-31,"MAY      ","FRI"
20140524,2014-05-24,2014,2,5,24,2014-05-01,2014-05-31,"MAY      ","SAT"
20140525,2014-05-25,2014,2,5,25,2014-05-01,2014-05-31,"MAY      ","SUN"
20140526,2014-05-26,2014,2,5,26,2014-05-01,2014-05-31,"MAY      ","MON"
20140527,2014-05-27,2014,2,5,27,2014-05-01,2014-05-31,"MAY      ","TUE"
20140528,2014-05-28,2014,2,5,28,2014-05-01,2014-05-31,"MAY      ","WED"
20140529,2014-05-29,2014,2,5,29,2014-05-01,2014-05-31,"MAY      ","THU"
20140530,2014-05-30,2014,2,5,30,2014-05-01,2014-05-31,"MAY      ","FRI"
20140531,2014-05-31,2014,2,5,31,2014-05-01,2014-05-31,"MAY      ","SAT"
20140601,2014-06-01,2014,2,6,1,2014-06-01,2014-06-30,"JUNE     ","SUN"
20140602,2014-06-02,2014,2,6,2,2014-06-01,2014-06-30,"JUNE     ","MON"
20140603,2014-06-03,2014,2,6,3,2014-06-01,2014-06-30,"JUNE     ","TUE"
